baseline_commit,path,git_blob,sha256_working_copy,area,priority,content_type,bytes,lines,nonblank_lines,review_method,full_review_status,reviewed_line_ranges,reviewer,finding_ids,test_evidence,reviewed_at_commit,independent_signoff,observed_source_commit,audit_notes
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/dependabot.yml,44e45d0ab94ac2b6eac15c75fdfd6db0cea283d0,4307af161ebb12cb814e982e9c5840ec9a7d2bcdc27de2ce13d1c66468988a41,CI/release automation,P0,utf8_text,8710,158,155,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/android.yml,caa10f3741fed968dc44e2db2ed0030831781b56,5b30a7b51146f037e119395b5644f64e00f34f499d0df368827ec1d7dbcfd397,CI/release automation,P0,utf8_text,6117,158,142,Line-by-line plus relevant execution tests,Partial,,root;qa_critic_review;milestone_critic,,work/verification/candidate-final-evidence.json; work/planning/first-milestone-qa.md; first-milestone-critic.md,c71c2f3506fa5ec0c6e16b67bc22a68a5d9ab9ea,Changed-behavior review only; whole-file line audit pending.,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,Changed behavior and selected call sites reviewed. No whole-file coverage credit.
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/check-assetlinks.yml,b96735a9caafd599c15b597c82eb148430fadfcd,f736ff47f4c0ab29bb39d583419758101c5523336d506686e1979e81b07c5b95,CI/release automation,P0,utf8_text,3416,81,71,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/cron-tick-code-red.yml,f5f5bfd37833d4c5b1319cc62aff73d109efc400,bd7b372201a34e82ec523ba938add103ec567e4ab78fc18edba32cf566853626,CI/release automation,P0,utf8_text,2148,57,53,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/cron-tick-daily.yml,491ec2eeabf3396699c21d8313796165ea8c6919,72bc41d979c09915d6c499ecc6f2a249d35df2b7eb3270b2e5934114eae69ef9,Cron reliability and reporting,P1,utf8_text,3189,83,78,Line-by-line plus relevant execution tests,Complete,1-83,qa_critic_review;cron_independent_critic,,work/planning/cron-reliability-qa.md; cron-independent-critic.md; work/verification/cron-candidate-backend-run4.log; cron-workflow-qa/result.json,05b73b522181145b1fabf3e4a2ae4d79096dd2b2,Local source/reporting review; broader cron recovery and M1 acceptance remain open.,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,Independent critic read every final source line and baseline diff; test contract and source boundaries assessed independently No deployed recovery or whole-app acceptance credit.
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/cron-tick-hourly.yml,6f35fb661261785c120dd8de9192ab6f124f8541,da3a8bb8b410ac8fefdb08d57e71661b64058627e2ba8986326a6cb321d273c9,CI/release automation,P0,utf8_text,2844,69,65,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/engineer-payouts-worker.yml,86436bcdad1ecfc462096fd8dc25ace5b9d50a13,ba9c1dd9af3cc350344941b66f68e8e4e0565c09f4b7233225fa4c624dec5b68,CI/release automation,P0,utf8_text,5647,124,118,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
c71c2f3506fa5ec0c6e16b67bc22a68a5d9ab9ea,.github/workflows/evidence-regressions.yml,b7b2b6fc26dd60f2c3cdd007eafbabf47397d9a4,29d2a77731883c5296aa88f665259afda079180fb2ba43614242a7da82ad41dd,Repair photo evidence finalization CI,P0,utf8_text,3962,106,100,Line-by-line plus relevant execution tests,Complete,1-106,qa_critic_review;cron_independent_critic,REL-01,work/planning/repair-photo-finalizer-qa.md; repair-photo-finalizer-independent-critic.md; GitHub run 34325210244,efd1d90bfefb21917a5cc00e35be67d4594eec2c,Final whole-file review and exact hosted backend run passed; full Android delivery and rollout remain open.,efd1d90bfefb21917a5cc00e35be67d4594eec2c,Complete hash-bound review for the bounded server-finalizer CI scope.
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/release-aab.yml,c9a3e3dec19ef14fcae2cd1b80be0d9580bee979,2861552e85a3fe16a7b328634922dd35c88b3b38db6cb07294bea0f301125acf,CI/release automation,P0,utf8_text,7245,186,167,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
fe4637568059e49f27fb46f8627fe56bccc45e27,.github/workflows/secret-scan.yml,cf0d28f2c974b8bcfc8b62c5a9b5eaaa718bb6ab,b34c32b55362cb54a02b71d62b72b14e2fc9afdbe5210c4eaa29d230fa5c06dd,CI/release automation,P0,utf8_text,1154,36,32,Line-by-line plus relevant execution tests,Pending,,,,,,,c927f7f4fd88d36762e74933f6d7de43cd81f8b8,
